哈哈	4
哈哈	4
泪	3
偷笑	4
嘻嘻	4
心	1
鼓掌	1
爱你	1
抓狂	2
花心	4
good	1
赞	1
酷	1
给力	1
害羞	4
思考	0
吃惊	0
挖鼻屎	0
汗	0
兔子	0
奥特曼	0
可怜	3
怒	2
衰	2
围观	0
太开心	4
可爱	4
威武	1
耶	4
晕	3
馋嘴	4
呵呵	4
蛋糕	4
哼	2
音乐	4
生病	3
亲亲	1
委屈	3
抱抱	1
蜡烛	0
话筒	0
太阳	4
微风	4
月亮	4
睡觉	0
礼花	1
握手	1
鄙视	2
熊猫	0
失望	3
来	0
做鬼脸	0
浮云	0
干杯	4
疑问	0
礼物	4
手套	0
爱心传递	0
困	3
怒骂	2
雪	4
伤心	3
打哈气	2
飞吻	1
乐乐	4
花	4
懒得理你	2
ok	4
萌	4
惊恐	0
猪头	0
嘘	0
钱	0
右哼哼	2
神马	0
飞机	0
咖啡	0
黑线	0
圣诞树	4
吐	2
风扇	0
哇哈哈	4
囧	0
雪人	4
爱	1
照相机	0
微笑	4
挤眼	4
圣诞老人	4
跳舞花	4
下雨	0
开心	4
大哭	3
吐舌头	0
闭嘴	0
温暖帽子	4
帅	0
左哼哼	2
弱	0
围脖	0
鲜花	4
阴险	0
闪电	0
织	0
钟	0
圣诞铃铛	4
悲伤	3
欢欢	4
星星眼	0
不要	0
大笑	4
阳光	4
拳头	2
冒个泡	0
好得意	4
顶	0
西瓜	4
坏笑	0
愤怒	2
喜	4
咆哮	2
圣诞帽	4
绿丝带	0
猥琐	0
春暖花开	4
音乐盒	4
1	0
落叶	0
圣诞袜	4
呲牙	0
抓沙发	0
茶	0
大巴	0
唱歌	4
喜欢你	1
激动	4
2	0
问号	0
汽车	0
满月	4
糖果	4
自行车	0
淘气	4
发嗲	0
印迹	0
万圣节	0
彩虹	4
骷髅	3
狗	0
鸭梨	0
high	4
叶子	0
3	0
星	4
冰棍	0
女孩儿	0
haha	4
热吻	0
叹号	0
汗了	0
电影	0
男孩儿	0
崩溃	3
有爱	1
听音乐	4
媚眼	1
紧张	3
奋斗	1
kiss	4
好可怜	3
脚印	0
管不着爱	4
哭泣女	3
瞌睡	3
惊讶	0
闪闪红	0
5	0
粉红丝带	0
玫瑰	1
月饼	1
红牌	0
国旗	0
书呆子	0
冲锋	4
4	0
震撼	0
orz	0
钻石	4
流星	4
让红包飞	4
惊喜	4
驯鹿	4
悼念乔布斯	0
喵	0
圆	0
揉	0
团	0
擂鼓	1
足球	0
手机	0
扇子遮面	0
美好	1
康乃馨	1
粉蛋糕	1
左抱抱	4
怒吼	2
胡萝卜	0
r	0
酒壶	0
互粉	0
红包	4
喵呜	0
囧耳朵	0
感动	4
c	0
右抱抱	4
脸红自爆	0
咬手帕	0
闪闪粉	0
昂	0
高兴	4
生气	2
鬼脸	0
mua	4
得意	4
火炬	0
首发	0
鞭炮	0
空	0
顶啊	0
打针	0
电话	0
色眯眯	1
电视机	0
感冒	3
泪奔	3
省略号	0
变花	4
笑眯眯	4
雨伞	0
羞羞	0
酒	0
小丑	0
爱你哦	4
8	0
了不起爱	4
实习	0
摸头	0
6	0
哨子	0
真美好	1
yes	4
兔兔	0
欢腾去爱	4
我爱听	1
膜拜	0
闪闪紫	0
v5	1
打牙	0
7	0
我要奋斗	0
扯脸	0
便便	3
欢欣鼓舞	4
惊呆	0
狂笑	4
不知所措	0
无奈	0
挑眉	0
惊哭	3
亲	4
y	0
房子	0
游泳	0
篮球	0
爱爱爱	1
飙泪中	3
啊	0
拜拜	0
哈尼兔耶	0
yeah	0
风	0
药	0
恐怖	0
i	0
可怜的	4
痴呆	0
啦啦	4
iPhone	0
白眼	2
吵闹	0
l	0
放开	0
讥笑	0
尽情玩	0
闪闪绿	0
蜷	0
飙泪	0
叹气	3
真淡定	0
抽烟	0
e	0
花痴闪闪	0
哭泣男	3
路过	0
抚摸	0
亲耳朵	0
哭	3
9	0
冻结	0
0	0
色	0
钻戒	0
拍照	0
你懂的	0
惊恐中	0
调戏	0
冲啊	0
v	0
上火	0
不错哦	1
扔鸡蛋	0
u	0
加油	4
龙卷风	0
好的	0
尴尬	0
痞痞兔耶	0
吼吼	4
藏猫猫	0
悲剧	3
沙尘暴	3
星星眼儿	0
植树节	0
发芽	0
巧克力	0
微博蛋糕	0
k	0
瞎眼	0
不要啊	0
哈哈哈哈	4
s	0
帅爆	1
h	0
冷	0
电脑	0
Hi	0
闪闪灰	0
抱枕	0
必胜	1
黑8	0
不公平	2
咦	0
美味	1
b	0
m	0
眨眨眼	0
阴天	0
红丝带	0
n	0
22	0
嘘嘘	0
闪	0
拜托	0
洪水	0
大惊	0
不倒翁	0
揪耳朵	0
怒了	2
伸舌头	0
图片	0
多云转晴	0
o	0
怕怕	0
嘿	0
有点困	3
t	0
陶醉了	4
老大	0
乐和	4
蹭	0
晃	0
bobo不要啊	0
多问号	0
我爱西瓜	4
小人得志	0
内牛满面	0
庆祝	0
黄牌	0
鸭梨很大	3
烦躁	3
我吃	0
挑逗	0
加我一个	0
咽回去了	0
去	0
黑板	0
强吻	0
大汗	0
呜呜	0
吓一跳	0
放电	0
a	0
g	0
为难	0
流汗	0
自插双目	0
晕晕	0
w	0
不关我事	0
宅	0
雾	0
抽耳光	2
杂技	0
不	0
钢琴	0
冤	0
泡泡糖	0
台风	0
瞄	0
最差	2
bobo抛媚眼	0
喷	0
怒火	2
痞痞兔囧	0
p	0
干笑中	0
f	0
帽子	0
冰雹	0
吃饭	0
咖啡咖啡	0
天蝎座	0
toto我最摇滚	0
被砸	0
跳绳	0
晕死了	0
点	0
交给我吧	0
手舞足蹈	0
忍	0
句号	0
吃西瓜	0
犯错	3
差得远呢	3
舔	0
喜欢	4
天然呆	0
不活了	3
心动	0
金牌	0
抛钱	0
睡大觉	0
搞笑	4
脸变色	2
面抽	0
头晕	3
巨蟹座	0
双子座	0
手贱	0
x	0
啊呜啊呜	0
手纸	0
怒气	2
嘿嘿嘿	0
嘟嘟嘴	0
金牛座	0
档案	0
射手座	0
逗号	0
水瓶座	0
j	0
瀑布汗	3
z	0
切	0
bobo抓狂	2
大怒	2
有钱	0
晴转多云	0
狮子座	0
生病了	3
天秤座	0
小便屁	0
生闷气	2
混乱中	3
一头竖线	0
生气了	2
双鱼座	0
磕头	0
哇	0
摩羯座	0
白羊座	0
你没事吧	0
疲劳	3
处女座	0
天蝎	0
运气中	0
d	0
囧汗	0
q	0
发奋	0
工作	0
小地主	0
推荐	0
886	0
哭死啦	3
嗯	0
感冒了	3
暴雨汗	0
好困	0
撒花	0
气死了	2
见钱	0
gbz加班	0
打哈欠	0
忍不了	2
搭错线	0
bobo膜拜	0
呆呆	0
天秤	0
大惊失色	0
我错了	3
转发	0
喂	0
生病鸟	3
双子	0
上海志愿者	0
金牛	0
爆发	0
射手	0
白羊	0
鼻涕虫	0
bobo纠结	3
痛哭	3
投篮	0
狮子	0
巨蟹	0
双鱼	0
水瓶	0
toto甩头发	0
扑克脸	0
呕吐	0
gbz得意	4
处女	0
摩羯	0
羽毛球	0
微微笑	4
toto飘过	0
gbz大笑	4
toto数落	0
震惊	0
gbz饿晕	0
不屑	2
举重	0
toto无聊	0
默默哭泣	3
没听见	0
toto狂汗	0
无聊	0
乒乓球	0
发呆中	0
射箭	0
gbz呜呜	0
抠鼻屎	0
gbz真穿越	0
纠结	0
toto好累	0
恶心死	2
牛	0
bobo不理你	0
射门	0
特委屈	0
gbz窃笑	4
排球	0
bobo疑问	0
铜牌	0
gbz饿	0
收藏	0
银牌	0
toto睡觉	0
gbz委屈	0
gbz穿越了	0
流鼻涕	0
gbz晚安了	0
gbz加班中	0
不理你	3
gbz困	0
gbz祈福	0
很生气	2
吐血	0
强烈鄙视	2
泪流满面	3
gbz起床啦	0
求关注	0
小盒汗	0
悲催	3
得瑟	0
gbz祈福了	0
拍手	0
愚人节	0
gbz再睡会	0
草泥马	0
七夕	0
我吐	0
偷乐	4
噢耶	4
吃货	0
采访	0
大红灯笼	0
不好意思	0
雷锋	0
笑哈哈	4
hold住	0
最右	0
喝多了	0
好棒	1
月儿圆	0
许愿	0
困死了	3
平安果	0
放鞭炮	0
霹雳	0
好激动	4
下班	0
丘比特	0
0	0
